First Name;Last Name
Aamir;Khan
Adam;Elliot
Adrien;Brody
Akira;Ishihama
Akira;Kurosawa
Akira;Terao
Al;Pacino
Alan;Rickman
Albert;Brooks
Albert;R�my
Alec;Guinness
Alejandro;I��rritu
Aleksey;Kravchenko
Alexandra;Lara
Alexandre;Rodrigues
Alfred;Abel
Alfred;Hitchcock
Amir;Hashemian
Amy;Poehler
Andie;MacDowell
Andrew;Garfield
Andrew;Stanton
Anne;Baxter
Anne;Hathaway
Annette;Bening
Anthony;Gonzalez
Anthony;Hopkins
Anthony;Perkins
Anthony;Russo
Ariadna;Gil
Arnold;Schwarzenegger
Asghar;Farhadi
Audrey;Tautou
Ayano;Shiraishi
Barbara;Stanwyck
Bee;Vang
Ben;Affleck
Ben;Burtt
Bette;Davis
Bibi;Andersson
Bill;Hader
Bill;Murray
Billy;Crystal
Billy;Wilder
Bob;Persichetti
Bong;Ho
Brad;Bird
Brad;Garrett
Brad;Pitt
Brahim;Hadjadj
Brian;Palma
Brie;Larson
Brigitte;Helm
Bruce;Willis
Bruno;Ganz
Bryan;Singer
Burt;Lancaster
Buster;Keaton
Carl;Dreyer
Carol;Reed
Carole;Lombard
Carrie-Anne;Moss
Cary;Grant
Cathy;Moriarty
Chad;Stahelski
Charles;Bronson
Charles;Chaplin
Charles;Vanel
Charlie;Sheen
Charlize;Theron
Charlton;Heston
Chieko;Baish�
Chieko;Higashiyama
Chish�;Ry�
Chiwetel;Ejiofor
Choi;Min-sik
Chris;Evans
Chris;Hemsworth
Christian;Bale
Christoph;Waltz
Christopher;Lloyd
Christopher;Nolan
Christopher;Plummer
Christopher;Walken
Clark;Gable
Claudette;Colbert
Clint;Eastwood
Clyde;Bruckman
Craig;Nelson
Curtis;Hanson
Damien;Chazelle
Dami�n;Szifron
Dana;Andrews
Daniel;Br�hl
Daniel;Day-Lewis
Daniel;Radcliffe
Danny;Boyle
Darren;Aronofsky
Darsheel;Safary
Dar�o;Grandinetti
Daveigh;Chase
David;Carradine
David;Fincher
David;Lean
David;Lynch
David;Yates
Dean;DeBlois
Dean-Charles;Chapman
Denis;Villeneuve
Dexter;Fletcher
Diane;Kruger
Don;Cheadle
Donald;O'Connor
Donna;Reed
Ed;Harris
Edna;Purviance
Edward;Asner
Edward;Furlong
Edward;Norton
Eijir�;T�no
Elem;Klimov
Eli;Marienthal
Eli;Wallach
Elia;Kazan
Elijah;Wood
Elissa;Knight
Ellen;Burstyn
Ellen;DeGeneres
Ellen;Widmann
Emile;Hirsch
Emilio;Echevarr�a
Emily;Mortimer
Emma;Stone
Emma;Watson
Enzo;Cannavale
Enzo;Staiola
Ernst;Lubitsch
Ethan;Coen
Ethan;Hawke
Eugene;Silvain
Eva;Saint
Ewan;McGregor
Ewen;Bremner
F.;Abraham
Faye;Dunaway
Fernando;Meirelles
Fikret;Kuskan
Florian;Donnersmarck
Florian;Zeller
Frances;McDormand
Francis;Coppola
Frank;Capra
Frank;Darabont
Frank;Morgan
Fran�ois;Cluzet
Fran�ois;Truffaut
Fred;MacMurray
Fritz;Lang
Gabriel;Byrne
Gael;Bernal
Gary;Lockwood
Gary;Oldman
Gavin;O'Connor
Gene;Hackman
Gene;Kelly
Geoffrey;Rush
George;Scott
George;Kennedy
George;Lucas
George;MacKay
George;Miller
George;Hill
Gerard;Butler
Gillo;Pontecorvo
Giuseppe;Tornatore
Gloria;Swanson
Gore;Verbinski
Grace;Kelly
Graham;Chapman
Gregory;Peck
Guillermo;Toro
Gunnar;Bj�rnstrand
Gus;Sant
Guy;Pearce
Guy;Ritchie
Ha;Jung-woo
Haley;Osment
Harold;Ramis
Harrison;Ford
Harry;Jr.
Harvey;Keitel
Hayao;Miyazaki
Heath;Ledger
Henri-Georges;Clouzot
Henry;Fonda
Herbert;Gr�nemeyer
Hilary;Swank
Hitoshi;Takagi
Hubert;Kound�
Hugh;Jackman
Hugo;Weaving
Humphrey;Bogart
Ian;McKellen
Ingmar;Bergman
Ingrid;Bergman
Irvin;Kershner
Isao;Takahata
Ivana;Baquero
J.K.;Simmons
Jack;Benny
Jack;Hawkins
Jack;Lemmon
Jack;Nicholson
Jacob;Tremblay
Jake;Gyllenhaal
Jake;Johnson
James;Cameron
James;Garner
James;Mangold
James;McTeigue
James;Stewart
James;Woods
Jamie;Foxx
Jane;Darwell
Janet;Leigh
Jared;Leto
Jason;Flemyng
Jason;Schwartzman
Jason;Statham
Javier;Bardem
Jay;Baruchel
Jean;Arthur
Jean;Martin
Jean;Reno
Jean-Pierre;Jeunet
Jean-Pierre;L�aud
Jeff;Bridges
Jennifer;Connelly
Jeremy;Irons
Jim;Carrey
Jim;Sheridan
Joan;Allen
Joan;Fontaine
Joaquin;Phoenix
Jodie;Foster
Joel;Coen
John;Carpenter
John;Cleese
John;Ford
John;Avildsen
John;Goodman
John;Hurt
John;Huston
John;Lasseter
John;McTiernan
John;Megna
John;Sturges
John;Travolta
Johnny;Depp
Jon;Watts
Jonah;Hill
Jonathan;Demme
Jordan;Nagai
Joseph;Cotten
Joseph;Gordon-Levitt
Joseph;Kosinski
Joseph;Mankiewicz
Juan;Campanella
Judy;Garland
Julie;Andrews
Julie;Delpy
J�rgen;Prochnow
Kanu;Bannerjee
Karen;Allen
Karl;Malden
