Role;movie_id;artist_id
Director;1;153
Actor;1;474
Actor;1;358
Director;2;151
Actor;2;328
Actor;2;7
Director;3;82
Actor;3;79
Actor;3;193
Director;4;151
Actor;4;7
Actor;4;408
Director;5;444
Actor;5;195
Actor;5;295
Director;6;455
Actor;6;302
Actor;6;397
Director;7;386
Actor;7;125
Actor;7;496
Director;8;394
Actor;8;258
Actor;8;493
Director;9;386
Actor;9;125
Actor;9;203
Director;10;438
Actor;10;87
Actor;10;123
Director;11;415
Actor;11;479
Actor;11;418
Director;12;103
Actor;12;49
Actor;12;119
Director;13;386
Actor;13;125
Actor;13;203
Director;14;82
Actor;14;301
Actor;14;265
Director;15;206
Actor;15;325
Actor;15;189
Director;16;289
Actor;16;279
Actor;16;292
Director;17;330
Actor;17;408
Actor;17;399
Director;18;355
Actor;18;213
Actor;18;308
Director;19;103
Actor;19;358
Actor;19;49
Director;20;152
Actor;20;221
Actor;20;114
Director;21;5
Actor;21;489
Actor;21;461
Director;22;262
Actor;22;245
Actor;22;27
Director;23;455
Actor;23;479
Actor;23;337
Director;24;146
Actor;24;15
Actor;24;294
Director;25;82
Actor;25;339
Actor;25;24
Director;26;416
Actor;26;416
Actor;26;364
Director;27;153
Actor;27;479
Actor;27;346
Director;28;169
Actor;28;325
Actor;28;189
Director;29;217
Actor;29;31
Actor;29;305
Director;30;415
Actor;30;348
Actor;30;81
Director;31;192
Actor;31;101
Actor;31;458
Director;32;420
Actor;32;3
Actor;32;471
Director;33;17
Actor;33;28
Actor;33;225
Director;34;46
Actor;34;447
Actor;34;296
Director;35;310
Actor;35;234
Actor;35;162
Director;36;419
Actor;36;338
Actor;36;239
Director;37;405
Actor;37;425
Actor;37;244
Director;38;488
Actor;38;119
Actor;38;118
Director;39;330
Actor;39;301
Actor;39;337
Director;40;91
Actor;40;354
Actor;40;209
Director;41;82
Actor;41;79
Actor;41;200
Director;42;56
Actor;42;282
Actor;42;159
Director;43;347
Actor;43;202
Actor;43;205
Director;44;207
Actor;44;490
Actor;44;34
Director;45;335
Actor;45;465
Actor;45;4
Director;46;372
Actor;46;155
